Case ID,Activity,Start,Complete,Classification
trace_0,Incident logging,2016/01/04 12:09:44.000,2016/01/04 12:09:44.000,
trace_0,Incident classification,2016/01/04 12:10:44.000,2016/01/04 12:17:44.000,Citrix
trace_0,Initial diagnosis,2016/01/04 12:34:44.000,2016/01/04 12:39:44.000,
trace_0,Functional escalation,2016/01/04 12:41:44.000,2016/01/04 12:48:44.000,
trace_0,Investigation and diagnosis,2016/01/04 18:13:44.000,2016/01/05 01:36:44.000,
trace_0,Resolution and recovery,2016/01/05 03:56:44.000,2016/01/05 04:30:44.000,
trace_0,Incident closure,2016/01/05 04:31:44.000,2016/01/05 04:48:44.000,
trace_1,Incident logging,2016/01/04 12:26:44.000,2016/01/04 12:35:44.000,
trace_2,Incident closure,2016/01/04 15:26:44.000,2016/01/04 15:34:44.000,
trace_1,Incident classification,2016/01/04 12:35:44.000,2016/01/04 12:37:44.000,Citrix
trace_1,Initial diagnosis,2016/01/04 12:51:44.000,2016/01/04 13:03:44.000,
trace_1,Resolution and recovery,2016/01/04 17:09:44.000,2016/01/04 17:50:44.000,
trace_1,Incident closure,2016/01/04 17:51:44.000,2016/01/04 17:59:44.000,
trace_2,Incident logging,2016/01/04 13:21:44.000,2016/01/04 13:39:44.000,
trace_3,Incident logging,2016/01/04 12:36:44.000,2016/01/04 12:52:44.000,
trace_2,Incident classification,2016/01/04 13:40:44.000,2016/01/04 13:42:44.000,Backup
trace_2,Initial diagnosis,2016/01/04 13:44:44.000,2016/01/04 13:50:44.000,
trace_2,Resolution and recovery,2016/01/04 14:50:44.000,2016/01/04 15:23:44.000,
trace_3,Incident classification,2016/01/04 12:52:44.000,2016/01/04 12:56:44.000,SAP
trace_3,Initial diagnosis,2016/01/04 13:03:44.000,2016/01/04 13:21:44.000,
trace_3,Resolution and recovery,2016/01/04 17:25:44.000,2016/01/04 18:44:44.000,
trace_3,Incident closure,2016/01/04 18:45:44.000,2016/01/04 19:04:44.000,
trace_4,Incident logging,2016/01/04 12:51:44.000,2016/01/04 12:54:44.000,
trace_4,Incident classification,2016/01/04 12:55:44.000,2016/01/04 12:58:44.000,SAP
trace_4,Initial diagnosis,2016/01/04 13:07:44.000,2016/01/04 13:12:44.000,
trace_4,Investigation and diagnosis,2016/01/04 16:20:44.000,2016/01/04 19:16:44.000,
trace_4,Functional escalation,2016/01/04 13:12:44.000,2016/01/04 13:16:44.000,
trace_4,Initial diagnosis,2016/01/04 20:25:44.000,2016/01/04 20:34:44.000,
trace_4,Functional escalation,2016/01/04 20:39:44.000,2016/01/04 20:42:44.000,
trace_4,Investigation and diagnosis,2016/01/05 04:40:44.000,2016/01/05 10:45:44.000,
trace_4,Resolution and recovery,2016/01/05 16:48:44.000,2016/01/05 17:21:44.000,
trace_4,Incident closure,2016/01/05 17:23:44.000,2016/01/05 17:31:44.000,
trace_5,Incident logging,2016/01/04 11:19:44.000,2016/01/04 11:28:44.000,
trace_5,Incident classification,2016/01/04 11:28:44.000,2016/01/04 11:34:44.000,SAP
trace_5,Initial diagnosis,2016/01/04 11:42:44.000,2016/01/04 11:53:44.000,
trace_5,Resolution and recovery,2016/01/04 16:43:44.000,2016/01/04 17:26:44.000,
trace_5,Incident closure,2016/01/04 17:26:44.000,2016/01/04 17:45:44.000,